variable,lead_hours,mean,std,seeds,real,run
V500,24.0,-2.2345841228317833,0.7237419579857851,3,True,multiscale
V500,30.0,-3.188241818788367,0.5616931569662358,3,True,multiscale
V500,36.0,-3.57136209636051,0.37897478820727615,3,True,multiscale
V500,42.0,-3.502337510560956,0.23203036250587256,3,True,multiscale
V500,48.0,-3.3187023269719966,0.08724367716288756,3,True,multiscale
V500,54.0,-3.1241339773648757,0.06235760995472502,3,True,multiscale
V500,60.0,-2.854225316092558,0.18871250951758245,3,True,multiscale
V500,66.0,-2.4586632587264625,0.3037908491437936,3,True,multiscale
V500,72.0,-2.0393955857752,0.4237919253017275,3,True,multiscale
V500,78.0,-1.6564928563698211,0.5286540783231213,3,True,multiscale
V500,84.0,-1.235291337195316,0.652718886700035,3,False,multiscale
V500,90.0,-0.6800051734191426,0.7618825587559613,3,False,multiscale
V500,96.0,-0.08492121067416884,0.9159901075593437,3,False,multiscale
V500,102.0,0.5079806624045716,1.1168531372090484,3,False,multiscale
V500,108.0,1.1814633819595726,1.3449101907874579,3,False,multiscale
V500,114.0,2.017161247566126,1.6182897864726293,3,False,multiscale
V500,120.0,2.8902366519671383,1.9012352497088927,3,False,multiscale
V850,6.0,2.4464287304787327,1.2317685096130742,3,False,multiscale
V850,12.0,2.353561053572443,1.0666059623908046,3,True,multiscale
V850,18.0,0.9337098599892308,0.8856557379689545,3,False,multiscale
V850,24.0,-0.6328015281573703,0.7386519184596193,3,False,multiscale
V850,30.0,-1.8130966748309376,0.579380932484025,3,True,multiscale
V850,36.0,-2.32330005816249,0.36785849773705787,3,True,multiscale
V850,42.0,-2.434740425925705,0.19902441374709154,3,True,multiscale
V850,48.0,-2.358578679095936,0.10326323014846507,3,True,multiscale
V850,54.0,-2.2861640814182267,0.18020160087186246,3,True,multiscale
V850,60.0,-2.1718608268126807,0.3152551640046727,3,True,multiscale
V850,66.0,-1.9051098677542087,0.4538092363188517,3,True,multiscale
V850,72.0,-1.583176339034021,0.5856528669588892,3,True,multiscale
V850,78.0,-1.30484154884724,0.67901020157923,3,False,multiscale
V850,84.0,-0.9891188778989722,0.8224657108598182,3,False,multiscale
V850,90.0,-0.5167932834388242,0.9769569433416001,3,False,multiscale
V850,96.0,0.04172125115645409,1.1782217394173493,3,False,multiscale
V850,102.0,0.5869439533851953,1.3602722304196055,3,False,multiscale
V850,108.0,1.2181506008833216,1.6071364469839098,3,False,multiscale
V850,114.0,2.068823114863249,1.8987822721006986,3,False,multiscale
V850,120.0,2.967914563371893,2.1545895128604573,3,False,multiscale
Z250,6.0,18.083391456528926,2.344945388538907,3,True,multiscale
Z250,12.0,17.18781914446979,2.2469604623597865,3,True,multiscale
Z250,18.0,14.165339966863593,2.145198319648925,3,True,multiscale
Z250,24.0,12.735812613270268,2.065680578664987,3,True,multiscale
Z250,30.0,11.245830894887506,2.062374177466403,3,True,multiscale
Z250,36.0,11.000193831134412,2.079547250478976,3,True,multiscale
Z250,42.0,11.044825434542988,2.2190510339389022,3,True,multiscale
Z250,48.0,11.847232259928214,2.3715504037751205,3,True,multiscale
Z250,54.0,12.621944228769598,2.5637421640531475,3,True,multiscale
Z250,60.0,13.939113098666605,2.7800781131307035,3,True,multiscale
Z250,66.0,15.291062786157505,3.088643073019895,3,True,multiscale
Z250,72.0,17.184596590000698,3.4056889129452457,3,True,multiscale
Z250,78.0,18.978773145641387,3.7458140113590246,3,True,multiscale
Z250,84.0,21.257697954301346,4.136769400001518,3,True,multiscale
Z250,90.0,23.570695675991725,4.586223196513124,3,True,multiscale
Z250,96.0,26.470625128486862,5.04390107557028,3,True,multiscale
Z250,102.0,29.256192254088358,5.495410299461878,3,True,multiscale
Z250,108.0,32.61277173751602,6.037661501457828,3,True,multiscale
Z250,114.0,35.99278103435145,6.619789785799706,3,True,multiscale
Z250,120.0,40.046487724694714,7.225607446083128,3,True,multiscale
Z500,6.0,13.110230004515103,1.7351827616626705,3,True,multiscale
Z500,12.0,14.108991282321908,1.8782605949138267,3,True,multiscale
Z500,18.0,10.145654348813421,1.5489178453962222,3,True,multiscale
Z500,24.0,8.639101304873199,1.3126074722962608,3,True,multiscale
Z500,30.0,6.875329576865968,1.1152809896040008,3,True,multiscale
Z500,36.0,6.565585522142399,0.9497680676537045,3,True,multiscale
Z500,42.0,6.258496156514116,0.927570274354864,3,True,multiscale
Z500,48.0,6.727740670313232,0.8955478641794548,3,True,multiscale
Z500,54.0,7.0439505393715764,1.0061486051396826,3,True,multiscale
Z500,60.0,8.008883614726022,1.123119329342621,3,True,multiscale
Z500,66.0,8.81325208533709,1.3789646430267128,3,True,multiscale
Z500,72.0,10.19921671971255,1.623855810762661,3,True,multiscale
Z500,78.0,11.387503914306768,1.956731367743404,3,True,multiscale
Z500,84.0,13.189515348443885,2.3013032308408343,3,True,multiscale
Z500,90.0,14.823999378988026,2.742940438438645,3,True,multiscale
Z500,96.0,17.114318686622145,3.185419283312539,3,True,multiscale
Z500,102.0,19.146290952563163,3.6676178217577196,3,True,multiscale
Z500,108.0,21.90865092956864,4.2210054631178355,3,True,multiscale
Z500,114.0,24.443526246248606,4.7981871491662655,3,True,multiscale
Z500,120.0,27.733183361507624,5.416145755716335,3,True,multiscale
Z850,6.0,2.744017073407207,0.9825377441213367,3,True,multiscale
Z850,12.0,3.705137917609233,0.9364991211078666,3,True,multiscale
Z850,18.0,1.5983486159364368,1.0729782682484985,3,False,multiscale
Z850,24.0,1.024433053816301,0.9358762005660269,3,False,multiscale
Z850,30.0,-0.1262378081808225,1.1234146446172157,3,False,multiscale
Z850,36.0,-0.18312378269451698,1.0702218296335952,3,False,multiscale
Z850,42.0,-0.5782934063121221,1.2984966182862367,3,False,multiscale
Z850,48.0,-0.20889785888659204,1.3228034680137715,3,False,multiscale
Z850,54.0,-0.395950166675928,1.5996617994042774,3,False,multiscale
Z850,60.0,0.21665890068069663,1.6804464656655407,3,False,multiscale
Z850,66.0,0.44968145869953463,2.0364801383399045,3,False,multiscale
Z850,72.0,1.4844389767519626,2.22014752850695,3,False,multiscale
Z850,78.0,1.901783893744458,2.652159547912112,3,False,multiscale
Z850,84.0,3.186989114299017,2.893985964060554,3,False,multiscale
Z850,90.0,4.015725274317384,3.3922922561312436,3,False,multiscale
Z850,96.0,5.790214279752289,3.748686131390341,3,False,multiscale
Z850,102.0,6.815534630240013,4.336699321633956,3,False,multiscale
Z850,108.0,8.864203676453732,4.801030659291273,3,False,multiscale
Z850,114.0,10.337693564802338,5.454284217263488,3,False,multiscale
Z850,120.0,12.941436098808552,6.054244432374799,3,True,multiscale
Q250,6.0,0.41839175806363144,0.03550899935064496,3,True,pyramid
Q250,12.0,0.2054830160449257,0.08416212394577892,3,True,pyramid
Q250,18.0,0.24358243692641204,0.10406039671619947,3,True,pyramid
Q250,24.0,0.4076944275942244,0.09529254497184378,3,True,pyramid
Q250,30.0,0.5529000686134533,0.10504602884820737,3,True,pyramid
Q250,36.0,0.6196575093983562,0.13802037513826132,3,True,pyramid
Q250,42.0,0.6196672831052507,0.1793388346323702,3,True,pyramid
Q250,48.0,0.6354293195179452,0.21219793371716184,3,True,pyramid
Q250,54.0,0.6534206679926639,0.2600999885960376,3,True,pyramid
Q250,60.0,0.6096551938048855,0.2978520372314171,3,True,pyramid
Q250,66.0,0.5281810871791852,0.31879247578773906,3,False,pyramid
Q250,72.0,0.4620299161189627,0.3488245749223191,3,False,pyramid
Q250,78.0,0.4482801323661598,0.3751572563394529,3,False,pyramid
Q250,84.0,0.3802472546263807,0.39680271667421846,3,False,pyramid
Q250,90.0,0.2621179114241568,0.4194247389407857,3,False,pyramid
Q250,96.0,0.16254198006398488,0.456046315188067,3,False,pyramid
Q250,102.0,0.15059423753647952,0.5021406626319603,3,False,pyramid
Q250,108.0,0.08993272432285132,0.5585129622849678,3,False,pyramid
Q250,114.0,-0.04173495834505425,0.5879127228580302,3,False,pyramid
Q250,120.0,-0.14849064653592683,0.6152614939430041,3,False,pyramid
Q500,6.0,0.5094258865310121,0.17044493931445379,3,True,pyramid
Q500,12.0,0.4078326123966807,0.24515230094439303,3,False,pyramid
Q500,18.0,0.3907111973189088,0.30567998340354746,3,False,pyramid
Q500,24.0,0.4351011178893817,0.33241490525481104,3,False,pyramid
Q500,30.0,0.47498133116081004,0.34918935039222315,3,False,pyramid
Q500,36.0,0.45609437026807004,0.350850071728213,3,False,pyramid
Q500,42.0,0.39368097550667275,0.3330342792397269,3,False,pyramid
Q500,48.0,0.3666218091800541,0.31744811894608715,3,False,pyramid
Q500,54.0,0.3425979100825336,0.3188869778104052,3,False,pyramid
Q500,60.0,0.26421317396471145,0.3177185350167028,3,False,pyramid
Q500,66.0,0.15417446765737183,0.3032035610543986,3,False,pyramid
Q500,72.0,0.06468333229977784,0.27762403171479955,3,False,pyramid
Q500,78.0,0.016883683693575863,0.2740064882612619,3,False,pyramid
Q500,84.0,-0.072591649307939,0.25154166013355744,3,False,pyramid
Q500,90.0,-0.1834674629554223,0.2353107013477905,3,False,pyramid
Q500,96.0,-0.2522706000980733,0.22297424758127296,3,False,pyramid
Q500,102.0,-0.2883367983380382,0.2352403082836494,3,False,pyramid
Q500,108.0,-0.3697416248373177,0.24098732426810243,3,False,pyramid
Q500,114.0,-0.48338217458557464,0.23971183849334954,3,True,pyramid
Q500,120.0,-0.5623136811035617,0.2557734713249379,3,True,pyramid
Q850,6.0,0.2350804332073697,0.028989600079662895,3,True,pyramid
Q850,12.0,0.2900013557422741,0.048421138610568036,3,True,pyramid
Q850,18.0,0.3691389112966821,0.10151421728582982,3,True,pyramid
Q850,24.0,0.41491890385235936,0.14453464276387837,3,True,pyramid
Q850,30.0,0.473778038167648,0.16737901984270098,3,True,pyramid
Q850,36.0,0.46922749465580155,0.19218154968298293,3,True,pyramid
Q850,42.0,0.45490881702691405,0.21938499372865664,3,True,pyramid
Q850,48.0,0.41664793512654436,0.246072569389474,3,False,pyramid
Q850,54.0,0.3813456371683068,0.26342087697817856,3,False,pyramid
Q850,60.0,0.3060219406450605,0.2871234221391087,3,False,pyramid
Q850,66.0,0.23840063493477523,0.3102612111716784,3,False,pyramid
Q850,72.0,0.14185267414727232,0.32187135597618693,3,False,pyramid
Q850,78.0,0.0808016309297241,0.3176096598705087,3,False,pyramid
Q850,84.0,-0.024633127565200436,0.3269426356429675,3,False,pyramid
Q850,90.0,-0.11024541896160418,0.34612959803232224,3,False,pyramid
Q850,96.0,-0.22220502478283796,0.3667874162351858,3,False,pyramid
Q850,102.0,-0.2916869368441225,0.34754431819939263,3,False,pyramid
Q850,108.0,-0.40578104203275367,0.3294926376220275,3,False,pyramid
Q850,114.0,-0.5195120444110889,0.33566736648554135,3,False,pyramid
