lead_days,mean,min,max,std,count,variable,model
2.5,857.8835932100063,,,,,Z500,rmse_persistence
2.75,886.6856104746299,,,,,Z500,rmse_persistence
3.0,899.7441520535727,,,,,Z500,rmse_persistence
3.25,923.48567224395,,,,,Z500,rmse_persistence
3.5,933.5386386122536,,,,,Z500,rmse_persistence
3.75,952.8070334837088,,,,,Z500,rmse_persistence
4.0,959.2507527672312,,,,,Z500,rmse_persistence
4.25,976.9423786032512,,,,,Z500,rmse_persistence
4.5,982.6158263590004,,,,,Z500,rmse_persistence
4.75,997.6174773013684,,,,,Z500,rmse_persistence
5.0,1000.7373237565982,,,,,Z500,rmse_persistence
0.25,781.256910918837,,,,,Z500,rmse_climatology
0.5,781.233754543098,,,,,Z500,rmse_climatology
0.75,781.2557717946571,,,,,Z500,rmse_climatology
1.0,781.2497651700995,,,,,Z500,rmse_climatology
1.25,781.1802945236066,,,,,Z500,rmse_climatology
1.5,781.1605072418797,,,,,Z500,rmse_climatology
1.75,781.1214829813212,,,,,Z500,rmse_climatology
2.0,781.1257013970202,,,,,Z500,rmse_climatology
2.25,781.1018013737591,,,,,Z500,rmse_climatology
2.5,781.033373521791,,,,,Z500,rmse_climatology
2.75,781.0102796035418,,,,,Z500,rmse_climatology
3.0,780.9660269282596,,,,,Z500,rmse_climatology
3.25,780.945327832531,,,,,Z500,rmse_climatology
3.5,780.9044439024817,,,,,Z500,rmse_climatology
3.75,780.8204121608493,,,,,Z500,rmse_climatology
4.0,780.7889489241511,,,,,Z500,rmse_climatology
4.25,780.7397708577838,,,,,Z500,rmse_climatology
4.5,780.7283901198545,,,,,Z500,rmse_climatology
4.75,780.7083620435528,,,,,Z500,rmse_climatology
5.0,780.6371388261281,,,,,Z500,rmse_climatology
0.25,1.1020756621032928,1.1004149330424022,1.1033331153671295,0.0015003068174392147,3.0,T850,baseline17
0.5,1.6962568677140686,1.6912484284792586,1.7034467533646875,0.006385046111924558,3.0,T850,baseline17
0.75,2.0317655895181232,2.026478677397795,2.040601531084979,0.007701328234573779,3.0,T850,baseline17
1.0,2.310205742677681,2.3061368551412538,2.3159415747080505,0.005110495025464207,3.0,T850,baseline17
1.25,2.689859920566939,2.6828936024655774,2.6977733492403253,0.007484950223407409,3.0,T850,baseline17
1.5,2.990979817933662,2.982218659606659,3.002201213604917,0.010215928343320661,3.0,T850,baseline17
1.75,3.1696121722073145,3.161282482127134,3.1802458464270424,0.009689352588239636,3.0,T850,baseline17
2.0,3.309660082462608,3.3029529735648264,3.315851910341916,0.006464888118973055,3.0,T850,baseline17
2.25,3.5221953763986167,3.5149970170533207,3.52857765541863,0.006826999701575448,3.0,T850,baseline17
2.5,3.694611083964974,3.686693390618481,3.703227976777015,0.008289438749273757,3.0,T850,baseline17
2.75,3.7829987384718877,3.775692015583326,3.791135867612416,0.007755341532233527,3.0,T850,baseline17
3.0,3.8497461990331723,3.8425277772510578,3.854991164153749,0.0064618032829676314,3.0,T850,baseline17
